Country Name,Country Code,Year,gdp,Consumer Expenditure in Current USD,General Government Final Consumption Expenditure in Current USD,Gross Fixed Capital Formation,Net Exports,calculated_gdp,Consumer Expenditure (as % of GDP),Government Expenditure (as % of GDP),Investment Expenditure (as % of GDP),Net Exports Expenditure (as % of GDP),Consumer Expenditure (as % of GDP) % Difference (First Non-Empty),Government Expenditure (as % of GDP) % Difference (First Non-Empty),Investment Expenditure (as % of GDP) % Difference (First Non-Empty),Net Exports Expenditure (as % of GDP) % Difference (First Non-Empty),Consumer Expenditure (as % of GDP) % Difference (Last Year),Government Expenditure (as % of GDP) % Difference (Last Year),Investment Expenditure (as % of GDP) % Difference (Last Year),Net Exports Expenditure (as % of GDP) % Difference (Last Year),Total Percentage,GDP per capita,Income Level
Afghanistan,AFG,1987,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1988,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1989,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1990,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1991,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1992,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1993,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1994,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1995,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1996,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1997,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1998,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,1999,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,2000,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,2001,,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,2002,3825701405.5195804,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,2003,4520946849.320794,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,2004,5224896718.67782,,,,,,,,,,,,,,,,,,,,Low income
Afghanistan,AFG,2005,6203256497.090445,,,,,,,,,,,,,,,,,,,,Low income
