,Import share,Export share,Net Exports,Consumer,Investment,Government
1947-01-01,0.031,0.076,0.045,0.642,0.147,0.166
1947-04-01,0.033,0.079,0.046,0.6509999999999999,0.14,0.163
1947-07-01,0.031,0.078,0.047,0.655,0.14,0.158
1947-10-01,0.032,0.068,0.036000000000000004,0.6459999999999999,0.16699999999999998,0.152
1948-01-01,0.036000000000000004,0.064,0.027000000000000003,0.6409999999999999,0.17800000000000002,0.154
1948-04-01,0.037000000000000005,0.055999999999999994,0.019,0.639,0.185,0.157
1948-07-01,0.037000000000000005,0.055,0.018000000000000002,0.634,0.188,0.16
1948-10-01,0.036000000000000004,0.052000000000000005,0.016,0.635,0.183,0.166
1949-01-01,0.035,0.057999999999999996,0.024,0.643,0.157,0.177
1949-04-01,0.035,0.057999999999999996,0.023,0.6579999999999999,0.134,0.18600000000000003
1949-07-01,0.033,0.052000000000000005,0.019,0.652,0.145,0.185
1949-10-01,0.034,0.045,0.011000000000000001,0.6659999999999999,0.138,0.184
1950-01-01,0.034,0.042,0.008,0.6509999999999999,0.166,0.174
1950-04-01,0.035,0.040999999999999995,0.006,0.643,0.18,0.171
1950-07-01,0.042,0.04,-0.002,0.6509999999999999,0.19,0.161
1950-10-01,0.043,0.042,0.0,0.619,0.214,0.168
1951-01-01,0.044000000000000004,0.045,0.001,0.623,0.192,0.185
1951-04-01,0.044000000000000004,0.05,0.006,0.596,0.196,0.203
1951-07-01,0.040999999999999995,0.051,0.011000000000000001,0.591,0.17600000000000002,0.222
1951-10-01,0.039,0.051,0.012,0.594,0.16,0.23399999999999999
1952-01-01,0.042,0.052000000000000005,0.01,0.5920000000000001,0.162,0.23600000000000002
1952-04-01,0.040999999999999995,0.046,0.005,0.601,0.147,0.24600000000000002
1952-07-01,0.040999999999999995,0.040999999999999995,0.0,0.597,0.156,0.247
1952-10-01,0.043,0.04,-0.003,0.598,0.159,0.245
1953-01-01,0.040999999999999995,0.039,-0.002,0.596,0.159,0.247
1953-04-01,0.042,0.039,-0.003,0.595,0.159,0.25
1953-07-01,0.042,0.04,-0.001,0.597,0.157,0.247
1953-10-01,0.04,0.039,-0.001,0.604,0.146,0.251
1954-01-01,0.038,0.037000000000000005,-0.001,0.61,0.145,0.24600000000000002
1954-04-01,0.042,0.043,0.001,0.616,0.14400000000000002,0.24
1954-07-01,0.039,0.040999999999999995,0.001,0.615,0.151,0.233
1954-10-01,0.039,0.042,0.003,0.613,0.155,0.22899999999999998
1955-01-01,0.039,0.042,0.003,0.609,0.166,0.222
1955-04-01,0.040999999999999995,0.04,0.0,0.608,0.172,0.22
1955-07-01,0.04,0.042,0.002,0.606,0.174,0.21899999999999997
1955-10-01,0.040999999999999995,0.042,0.001,0.605,0.18,0.214
1956-01-01,0.043,0.044000000000000004,0.001,0.605,0.17800000000000002,0.21600000000000003
1956-04-01,0.043,0.047,0.004,0.603,0.17300000000000001,0.22
1956-07-01,0.043,0.048,0.006,0.603,0.17300000000000001,0.218
1956-10-01,0.04,0.05,0.01,0.603,0.168,0.22
1957-01-01,0.043,0.053,0.01,0.6,0.165,0.22399999999999998
1957-04-01,0.043,0.052000000000000005,0.009000000000000001,0.602,0.165,0.22399999999999998
1957-07-01,0.040999999999999995,0.05,0.008,0.602,0.165,0.22399999999999998
1957-10-01,0.040999999999999995,0.048,0.006999999999999999,0.611,0.15,0.23199999999999998
1958-01-01,0.042,0.044000000000000004,0.002,0.62,0.14300000000000002,0.235
1958-04-01,0.043,0.044000000000000004,0.001,0.62,0.138,0.24100000000000002
1958-07-01,0.040999999999999995,0.042,0.002,0.613,0.14800000000000002,0.237
1958-10-01,0.042,0.040999999999999995,-0.001,0.604,0.16,0.23600000000000002
1959-01-01,0.042,0.043,0.001,0.606,0.163,0.23
1959-04-01,0.043,0.042,-0.001,0.604,0.171,0.22699999999999998
1959-07-01,0.044000000000000004,0.046,0.002,0.611,0.159,0.228
1959-10-01,0.043,0.044000000000000004,0.001,0.611,0.16399999999999998,0.22399999999999998
1960-01-01,0.043,0.048,0.005,0.601,0.17800000000000002,0.21600000000000003
1960-04-01,0.043,0.05,0.006,0.614,0.161,0.21899999999999997
1960-07-01,0.042,0.051,0.009000000000000001,0.609,0.158,0.22399999999999998
1960-10-01,0.04,0.051,0.011000000000000001,0.618,0.141,0.23
1961-01-01,0.04,0.051,0.011000000000000001,0.614,0.14400000000000002,0.23199999999999998
1961-04-01,0.039,0.048,0.009000000000000001,0.611,0.151,0.22899999999999998
1961-07-01,0.040999999999999995,0.049,0.008,0.603,0.16,0.22899999999999998
1961-10-01,0.040999999999999995,0.049,0.008,0.602,0.16,0.23
1962-01-01,0.040999999999999995,0.048,0.006999999999999999,0.597,0.165,0.231
